Producto,Categoría del Producto,Precio,Costo de envío,Fecha de Compra,Vendedor,Lugar de Compra,Calificación,Método de pago,Cantidad de cuotas,lat,lon,Sucursal,Ingreso
Bicicleta,Deportes y diversión,613300.0,30800.0,2020-09-04,Juan Fernandez,Bogotá,2,Tarjeta de crédito,8,4.60971,-74.08175,Tienda 1,582500.0
Ciencia de datos con Python,Libros,56900.0,1200.0,2020-12-16,Izabela de León,Cali,5,Tarjeta de crédito,5,3.43722,-76.5225,Tienda 1,55700.0
Balón de voleibol,Deportes y diversión,58900.0,1300.0,2022-05-03,Pedro Gomez,Medellín,2,Nequi,1,6.25184,-75.56359,Tienda 1,57600.0
Ajedrez de madera,Juguetes,29600.0,1800.0,2021-07-22,Izabela de León,Santa Marta,5,Tarjeta de crédito,2,11.24079,-74.19904,Tienda 1,27800.0
TV LED UHD 4K,Electrónicos,1891700.0,107900.0,2022-01-09,Beatriz Morales,Bogotá,3,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 1,1783800.0
Juego de mesa,Juguetes,138900.0,9800.0,2020-01-10,Izabela de León,Medellín,4,Tarjeta de crédito,4,6.25184,-75.56359,Tienda 1,129100.0
Microondas,Electrodomésticos,435700.0,23400.0,2021-03-11,Izabela de León,Cali,5,Cupón,1,3.43722,-76.5225,Tienda 1,412300.0
Vaso térmico,Deportes y diversión,50800.0,3100.0,2022-07-11,Camila Rivera,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 1,47700.0
Bicicleta,Deportes y diversión,514500.0,27600.0,2022-04-21,Maria Alfonso,Medellín,3,Tarjeta de crédito,10,6.25184,-75.56359,Tienda 1,486900.0
Kit de bancas,Muebles,293500.0,13800.0,2023-03-06,Camila Rivera,Bogotá,4,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 1,279700.0
Dashboards con Power BI,Libros,33500.0,0.0,2023-02-14,Pedro Gomez,Medellín,5,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 1,33500.0
Cubertería,Artículos para el hogar,47900.0,3300.0,2021-03-20,Juan Fernandez,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,44600.0
Set de ollas,Artículos para el hogar,139300.0,8100.0,2023-03-06,Beatriz Morales,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 1,131200.0
Batería,Instrumentos musicales,583900.0,29300.0,2020-09-14,Juliana Costa,Bogotá,1,Tarjeta de crédito,8,4.60971,-74.08175,Tienda 1,554600.0
Cuerda para saltar,Deportes y diversión,18400.0,1200.0,2020-07-18,Felipe Santos,Barranquilla,1,Tarjeta de crédito,4,10.96854,-74.78132,Tienda 1,17200.0
Carrito de control remoto,Juguetes,79100.0,2400.0,2021-12-15,Ángel Rodriguez,Bogotá,4,Cupón,1,4.60971,-74.08175,Tienda 1,76700.0
Estufa,Electrodomésticos,564200.0,28200.0,2021-09-08,Mariana Herrera,Medellín,1,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,536000.0
Juego de mesa,Juguetes,153900.0,6400.0,2021-08-15,Ángel Rodriguez,Medellín,3,Tarjeta de crédito,3,6.25184,-75.56359,Tienda 1,147500.0
Cama box,Muebles,331400.0,17900.0,2020-02-04,Felipe Santos,Medellín,2,Tarjeta de crédito,5,6.25184,-75.56359,Tienda 1,313500.0
Vaso térmico,Deportes y diversión,55600.0,7700.0,2020-04-26,Juliana Costa,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,47900.0
Bloques de construcción,Juguetes,24700.0,1700.0,2021-05-13,Blanca Ramirez,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 1,23000.0
Vaso térmico,Deportes y diversión,62300.0,1500.0,2022-05-22,Felipe Santos,Medellín,3,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,60800.0
Impresora,Electrónicos,300200.0,16200.0,2021-08-16,Blanca Ramirez,Bogotá,5,Tarjeta de crédito,8,4.60971,-74.08175,Tienda 1,284000.0
Mesa de noche,Muebles,305400.0,16700.0,2021-07-31,Camila Rivera,Cali,5,Tarjeta de crédito,3,3.43722,-76.5225,Tienda 1,288700.0
Dashboards con Power BI,Libros,30500.0,7500.0,2020-08-17,Ángel Rodriguez,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 1,23000.0
Cama box,Muebles,327200.0,15600.0,2021-09-21,Mariana Herrera,Villavicencio,5,Tarjeta de crédito,1,4.142,-73.62664,Tienda 1,311600.0
Auriculares,Electrónicos,68300.0,1800.0,2022-09-16,Rafael Acosta,Cali,5,Cupón,1,3.43722,-76.5225,Tienda 1,66500.0
Armario,Muebles,513400.0,25500.0,2021-08-02,Mariana Herrera,Cali,5,Tarjeta de crédito,5,3.43722,-76.5225,Tienda 1,487900.0
Dinosaurio Rex,Juguetes,13900.0,3100.0,2021-04-27,Izabela de León,Medellín,4,Nequi,1,6.25184,-75.56359,Tienda 1,10800.0
Microondas,Electrodomésticos,362000.0,17500.0,2021-02-19,Juliana Costa,Bogotá,1,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 1,344500.0
Juego de mesa,Juguetes,240300.0,11000.0,2022-03-26,Juan Fernandez,Bogotá,4,Tarjeta de crédito,12,4.60971,-74.08175,Tienda 1,229300.0
Bicicleta,Deportes y diversión,428300.0,21000.0,2021-12-17,Juliana Costa,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,407300.0
Guitarra eléctrica,Instrumentos musicales,679000.0,34300.0,2023-02-24,Juan Fernandez,Inírida,4,Tarjeta de crédito,4,3.8653,-67.9239,Tienda 1,644700.0
Set de ollas,Artículos para el hogar,100900.0,5600.0,2021-07-19,Mariana Herrera,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,95300.0
Secadora de ropa,Electrodomésticos,739700.0,39900.0,2020-05-05,Izabela de León,Cali,5,Nequi,1,3.43722,-76.5225,Tienda 1,699800.0
Sofá reclinable,Muebles,630000.0,31700.0,2022-12-26,Rafael Acosta,Cúcuta,2,Tarjeta de crédito,10,7.89391,-72.50782,Tienda 1,598300.0
Tablet ABXY,Electrónicos,1130300.0,58400.0,2023-03-08,Mariana Herrera,Cali,5,Tarjeta de crédito,1,3.43722,-76.5225,Tienda 1,1071900.0
Kit de bancas,Muebles,318900.0,17200.0,2021-12-19,Lucas Olivera,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 1,301700.0
Impresora,Electrónicos,297000.0,16200.0,2022-08-06,Mariana Herrera,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,280800.0
Batería,Instrumentos musicales,402200.0,21800.0,2020-12-30,Camila Rivera,Cali,5,Tarjeta de crédito,1,3.43722,-76.5225,Tienda 1,380400.0
Cubo mágico 8x8,Juguetes,17100.0,0.0,2021-09-03,Camila Rivera,Medellín,4,Nequi,1,6.25184,-75.56359,Tienda 1,17100.0
Set de vasos,Artículos para el hogar,38700.0,2500.0,2020-04-16,Rafael Acosta,Bogotá,1,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,36200.0
Tablet ABXY,Electrónicos,605800.0,33500.0,2023-02-14,Maria Alfonso,Cúcuta,4,Tarjeta de crédito,1,7.89391,-72.50782,Tienda 1,572300.0
Lavavajillas,Electrodomésticos,1122700.0,60000.0,2020-02-28,Juan Fernandez,Bogotá,3,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 1,1062700.0
Auriculares,Electrónicos,125900.0,7100.0,2021-12-10,Felipe Santos,Bogotá,3,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,118800.0
Dinosaurio Rex,Juguetes,18300.0,1400.0,2021-07-01,Blanca Ramirez,Medellín,4,Tarjeta de crédito,6,6.25184,-75.56359,Tienda 1,16900.0
Cuerda para saltar,Deportes y diversión,12800.0,0.0,2021-09-25,Blanca Ramirez,Manizales,3,Tarjeta de crédito,5,5.06889,-75.51738,Tienda 1,12800.0
Silla de oficina,Muebles,423500.0,20700.0,2022-05-23,Blanca Ramirez,Bogotá,5,Cupón,1,4.60971,-74.08175,Tienda 1,402800.0
Impresora,Electrónicos,315200.0,15000.0,2022-09-01,Beatriz Morales,Medellín,5,Tarjeta de crédito,5,6.25184,-75.56359,Tienda 1,300200.0
Modelado predictivo,Libros,74100.0,2100.0,2020-08-24,Felipe Santos,Bogotá,5,Tarjeta de débito,1,4.60971,-74.08175,Tienda 1,72000.0
Mesa de noche,Muebles,293800.0,16000.0,2021-08-17,Izabela de León,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,277800.0
Iphone 15,Electrónicos,2525400.0,135000.0,2023-03-03,Maria Alfonso,Medellín,4,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,2390400.0
Secadora de ropa,Electrodomésticos,1200300.0,64100.0,2022-01-02,Camila Rivera,Medellín,4,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,1136200.0
Modelado predictivo,Libros,53000.0,1000.0,2023-03-31,Izabela de León,Cali,3,Tarjeta de crédito,3,3.43722,-76.5225,Tienda 1,52000.0
Kit de bancas,Muebles,250100.0,14600.0,2020-09-09,Rafael Acosta,Neiva,5,Tarjeta de crédito,7,2.9273,-75.28189,Tienda 1,235500.0
Estufa,Electrodomésticos,680900.0,34400.0,2022-06-05,Beatriz Morales,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,646500.0
Mochila,Deportes y diversión,111000.0,4100.0,2022-02-01,Juan Fernandez,Bogotá,4,Nequi,1,4.60971,-74.08175,Tienda 1,106900.0
Tablet ABXY,Electrónicos,1196000.0,61900.0,2023-03-04,Beatriz Morales,Medellín,5,Tarjeta de crédito,10,6.25184,-75.56359,Tienda 1,1134100.0
Balón de baloncesto,Deportes y diversión,45100.0,7100.0,2021-01-28,Santiago Silva,Bucaramanga,4,Cupón,1,7.12539,-73.1198,Tienda 1,38000.0
Mesa de noche,Muebles,284200.0,16400.0,2022-07-17,Rafael Acosta,Cali,3,Tarjeta de crédito,1,3.43722,-76.5225,Tienda 1,267800.0
Armario,Muebles,490400.0,24300.0,2021-09-06,Camila Rivera,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 1,466100.0
Auriculares con micrófono,Electrónicos,143600.0,7900.0,2020-05-01,Blanca Ramirez,Bogotá,1,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,135700.0
Auriculares,Electrónicos,139100.0,7600.0,2022-10-28,Rafael Acosta,Valledupar,2,Nequi,1,10.46314,-73.25322,Tienda 1,131500.0
Carrito de control remoto,Juguetes,84600.0,4900.0,2021-11-02,Pedro Gomez,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,79700.0
Batería,Instrumentos musicales,401900.0,19600.0,2023-03-01,Felipe Santos,Medellín,5,Tarjeta de crédito,8,6.25184,-75.56359,Tienda 1,382300.0
Iphone 15,Electrónicos,2172400.0,113900.0,2022-09-11,Lucas Olivera,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,2058500.0
Sillón,Muebles,296400.0,14000.0,2021-01-23,Mariana Herrera,Barranquilla,4,Tarjeta de crédito,4,10.96854,-74.78132,Tienda 1,282400.0
Silla de oficina,Muebles,368700.0,19800.0,2020-12-10,Juliana Costa,Bogotá,1,Tarjeta de crédito,8,4.60971,-74.08175,Tienda 1,348900.0
Juego de mesa,Juguetes,130800.0,5200.0,2021-10-02,Camila Rivera,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,125600.0
Iphone 15,Electrónicos,1396500.0,74800.0,2020-04-23,Blanca Ramirez,Medellín,5,Tarjeta de crédito,9,6.25184,-75.56359,Tienda 1,1321700.0
Balón de baloncesto,Deportes y diversión,42100.0,6900.0,2022-10-27,Lucas Olivera,Cartagena,5,Tarjeta de crédito,2,10.39972,-75.51444,Tienda 1,35200.0
Muñeca bebé,Juguetes,44800.0,2600.0,2020-12-20,Maria Alfonso,Pasto,5,Tarjeta de crédito,10,1.21361,-77.28111,Tienda 1,42200.0
Set de vasos,Artículos para el hogar,35300.0,2300.0,2020-07-23,Ángel Rodriguez,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,33000.0
Silla de oficina,Muebles,444800.0,24100.0,2022-05-05,Santiago Silva,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 1,420700.0
Silla de oficina,Muebles,412500.0,20200.0,2021-07-29,Felipe Santos,Bogotá,1,Tarjeta de crédito,7,4.60971,-74.08175,Tienda 1,392300.0
Vaso térmico,Deportes y diversión,59800.0,4200.0,2020-12-30,Juliana Costa,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 1,55600.0
Muñeca bebé,Juguetes,42000.0,0.0,2021-01-22,Izabela de León,Cali,2,Tarjeta de crédito,7,3.43722,-76.5225,Tienda 1,42000.0
Impresora,Electrónicos,288300.0,13500.0,2020-05-16,Rafael Acosta,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,274800.0
Guitarra acústica,Instrumentos musicales,434600.0,23500.0,2020-06-28,Rafael Acosta,Bogotá,5,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 1,411100.0
Kit de bancas,Muebles,245600.0,11300.0,2021-09-24,Lucas Olivera,Valledupar,3,Tarjeta de crédito,5,10.46314,-73.25322,Tienda 1,234300.0
Modelado predictivo,Libros,53800.0,1100.0,2023-03-20,Santiago Silva,Medellín,1,Tarjeta de crédito,10,6.25184,-75.56359,Tienda 1,52700.0
Microondas,Electrodomésticos,722600.0,36700.0,2021-09-30,Ángel Rodriguez,Cúcuta,5,Nequi,1,7.89391,-72.50782,Tienda 1,685900.0
Olla de presión,Artículos para el hogar,78300.0,4600.0,2022-09-27,Mariana Herrera,Cali,5,Tarjeta de crédito,10,3.43722,-76.5225,Tienda 1,73700.0
Mesa de comedor,Muebles,279300.0,15300.0,2022-05-03,Santiago Silva,Bogotá,2,Tarjeta de crédito,6,4.60971,-74.08175,Tienda 1,264000.0
Bicicleta,Deportes y diversión,475100.0,23500.0,2020-12-13,Juan Fernandez,Medellín,5,Tarjeta de crédito,4,6.25184,-75.56359,Tienda 1,451600.0
Olla de presión,Artículos para el hogar,72600.0,2100.0,2022-02-10,Camila Rivera,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,70500.0
Iniciando en programación,Libros,49400.0,3300.0,2020-04-01,Rafael Acosta,Bogotá,5,Tarjeta de crédito,4,4.60971,-74.08175,Tienda 1,46100.0
Cuerda para saltar,Deportes y diversión,22800.0,7300.0,2020-10-20,Mariana Herrera,Medellín,5,Tarjeta de débito,1,6.25184,-75.56359,Tienda 1,15500.0
Muñeca bebé,Juguetes,54600.0,1100.0,2022-01-27,Pedro Gomez,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,53500.0
Dashboards con Power BI,Libros,33500.0,0.0,2021-07-29,Maria Alfonso,Bogotá,5,Cupón,1,4.60971,-74.08175,Tienda 1,33500.0
Celular ABXY,Electrónicos,701900.0,35600.0,2020-01-11,Juan Fernandez,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,666300.0
Secadora de ropa,Electrodomésticos,1438900.0,77300.0,2020-02-06,Lucas Olivera,Medellín,1,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 1,1361600.0
Auriculares con micrófono,Electrónicos,55300.0,4000.0,2021-07-04,Maria Alfonso,Bogotá,1,Tarjeta de crédito,4,4.60971,-74.08175,Tienda 1,51300.0
Muñeca bebé,Juguetes,53200.0,3100.0,2020-12-28,Juliana Costa,Riohacha,5,Tarjeta de crédito,8,11.54444,-72.90722,Tienda 1,50100.0
Sillón,Muebles,222500.0,12400.0,2020-02-14,Beatriz Morales,Bogotá,3,Nequi,1,4.60971,-74.08175,Tienda 1,210100.0
Bicicleta,Deportes y diversión,535900.0,29200.0,2021-10-11,Lucas Olivera,Bogotá,3,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,506700.0
Smartwatch,Electrónicos,172300.0,9400.0,2022-02-11,Santiago Silva,Bogotá,5,Tarjeta de crédito,8,4.60971,-74.08175,Tienda 1,162900.0
Ciencia de datos con Python,Libros,39700.0,2300.0,2022-05-18,Maria Alfonso,Bogotá,5,Tarjeta de crédito,10,4.60971,-74.08175,Tienda 1,37400.0
Vaso térmico,Deportes y diversión,66900.0,5900.0,2022-07-06,Maria Alfonso,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,61000.0
TV LED UHD 4K,Electrónicos,2761500.0,147300.0,2020-12-15,Rafael Acosta,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,2614200.0
Microondas,Electrodomésticos,555800.0,29800.0,2021-12-04,Maria Alfonso,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,526000.0
Refrigerador,Electrodomésticos,2185100.0,114500.0,2020-02-09,Maria Alfonso,Bogotá,1,Cupón,1,4.60971,-74.08175,Tienda 1,2070600.0
Dashboards con Power BI,Libros,44400.0,0.0,2020-04-15,Ángel Rodriguez,Cartagena,1,Tarjeta de crédito,4,10.39972,-75.51444,Tienda 1,44400.0
Bloques de construcción,Juguetes,30900.0,0.0,2020-03-05,Juan Fernandez,Villavicencio,2,Nequi,1,4.142,-73.62664,Tienda 1,30900.0
TV LED UHD 4K,Electrónicos,2824600.0,150600.0,2021-09-07,Mariana Herrera,Pasto,5,Tarjeta de crédito,1,1.21361,-77.28111,Tienda 1,2674000.0
Lavavajillas,Electrodomésticos,1527900.0,82000.0,2020-08-04,Felipe Santos,Bogotá,2,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 1,1445900.0
Mesa de centro,Muebles,182800.0,10100.0,2022-11-25,Mariana Herrera,Cali,5,Nequi,1,3.43722,-76.5225,Tienda 1,172700.0
Microondas,Electrodomésticos,714200.0,38400.0,2020-07-27,Pedro Gomez,Bogotá,5,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 1,675800.0
Olla de presión,Artículos para el hogar,83300.0,2600.0,2020-01-17,Beatriz Morales,Medellín,1,Tarjeta de crédito,10,6.25184,-75.56359,Tienda 1,80700.0
Vaso térmico,Deportes y diversión,35000.0,2600.0,2020-09-12,Pedro Gomez,Medellín,5,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 1,32400.0
Cama king,Muebles,695100.0,37200.0,2022-01-23,Izabela de León,Bogotá,4,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 1,657900.0
Modelado predictivo,Libros,69700.0,10500.0,2022-04-15,Beatriz Morales,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 1,59200.0
Lavadora de ropa,Electrodomésticos,1356900.0,74600.0,2020-01-02,Mariana Herrera,Pasto,3,Tarjeta de crédito,2,1.21361,-77.28111,Tienda 1,1282300.0
Iphone 15,Electrónicos,2351400.0,129900.0,2020-02-17,Camila Rivera,Bucaramanga,1,Tarjeta de crédito,1,7.12539,-73.1198,Tienda 1,2221500.0
Guitarra acústica,Instrumentos musicales,204600.0,9100.0,2020-05-28,Izabela de León,Cali,5,Tarjeta de crédito,5,3.43722,-76.5225,Tienda 1,195500.0
TV LED UHD 4K,Electrónicos,2910000.0,153100.0,2021-07-02,Juliana Costa,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 1,2756900.0
Olla de presión,Artículos para el hogar,62400.0,1500.0,2020-04-01,Maria Alfonso,Medellín,1,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 1,60900.0
Secadora de ropa,Electrodomésticos,1090800.0,56300.0,2022-09-01,Ángel Rodriguez,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,1034500.0
Sillón,Muebles,262500.0,14400.0,2022-09-06,Lucas Olivera,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 1,248100.0
Modelado predictivo,Libros,55600.0,4000.0,2020-12-26,Maria Alfonso,Cartagena,5,Tarjeta de crédito,1,10.39972,-75.51444,Tienda 1,51600.0
TV LED UHD 4K,Electrónicos,1927400.0,108500.0,2022-11-17,Camila Rivera,Bogotá,5,Tarjeta de crédito,4,4.60971,-74.08175,Tienda 1,1818900.0
Dashboards con Power BI,Libros,30500.0,0.0,2020-04-06,Maria Alfonso,Bucaramanga,5,Tarjeta de crédito,8,7.12539,-73.1198,Tienda 1,30500.0
Armario,Muebles,508100.0,25200.0,2023-02-03,Camila Rivera,Medellín,5,Tarjeta de crédito,3,6.25184,-75.56359,Tienda 1,482900.0
Silla de oficina,Muebles,503700.0,27000.0,2020-01-30,Maria Alfonso,Medellín,5,Tarjeta de crédito,3,6.25184,-75.56359,Tienda 1,476700.0
Auriculares con micrófono,Electrónicos,161600.0,9000.0,2022-10-21,Felipe Santos,Bogotá,1,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,152600.0
TV LED UHD 4K,Electrónicos,2872800.0,151200.0,2020-02-05,Lucas Olivera,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,2721600.0
Set de vasos,Artículos para el hogar,34000.0,2000.0,2021-10-26,Juliana Costa,Pereira,1,Tarjeta de crédito,2,4.81333,-75.69611,Tienda 1,32000.0
Batería,Instrumentos musicales,677600.0,34300.0,2022-07-24,Maria Alfonso,Bogotá,5,Tarjeta de crédito,6,4.60971,-74.08175,Tienda 1,643300.0
Juego de mesa,Juguetes,150800.0,8200.0,2022-02-24,Izabela de León,Cali,5,Tarjeta de crédito,2,3.43722,-76.5225,Tienda 1,142600.0
Cuerda para saltar,Deportes y diversión,22600.0,0.0,2021-09-09,Ángel Rodriguez,Pereira,5,Nequi,1,4.81333,-75.69611,Tienda 1,22600.0
Auriculares con micrófono,Electrónicos,151300.0,8700.0,2021-06-14,Pedro Gomez,Medellín,5,Tarjeta de crédito,5,6.25184,-75.56359,Tienda 1,142600.0
Tablet ABXY,Electrónicos,903700.0,46300.0,2021-10-30,Camila Rivera,Cali,4,Nequi,1,3.43722,-76.5225,Tienda 1,857400.0
Ajedrez de madera,Juguetes,30300.0,0.0,2021-04-13,Rafael Acosta,Bucaramanga,5,Tarjeta de crédito,6,7.12539,-73.1198,Tienda 1,30300.0
Armario,Muebles,452000.0,24300.0,2020-02-12,Rafael Acosta,Pereira,4,Tarjeta de crédito,4,4.81333,-75.69611,Tienda 1,427700.0
Cubo mágico 8x8,Juguetes,18600.0,1200.0,2021-05-12,Beatriz Morales,Armenia,5,Nequi,1,4.53389,-75.68111,Tienda 1,17400.0
Dinosaurio Rex,Juguetes,13600.0,1400.0,2022-01-11,Camila Rivera,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 1,12200.0
Set de vasos,Artículos para el hogar,35700.0,0.0,2022-07-08,Pedro Gomez,Pereira,5,Nequi,1,4.81333,-75.69611,Tienda 1,35700.0
Armario,Muebles,451500.0,22200.0,2020-05-30,Maria Alfonso,Bogotá,3,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 1,429300.0
Set de vasos,Artículos para el hogar,28100.0,0.0,2022-10-04,Juliana Costa,Cali,1,Tarjeta de crédito,10,3.43722,-76.5225,Tienda 1,28100.0
Batería,Instrumentos musicales,546600.0,31500.0,2021-12-15,Felipe Santos,Medellín,5,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 1,515100.0
Carrito de control remoto,Juguetes,57100.0,1200.0,2023-02-13,Juan Fernandez,Cali,3,Tarjeta de crédito,2,3.43722,-76.5225,Tienda 1,55900.0
Muñeca bebé,Juguetes,42900.0,0.0,2021-02-03,Blanca Ramirez,Cali,5,Nequi,1,3.43722,-76.5225,Tienda 1,42900.0
Sofá reclinable,Muebles,712900.0,36100.0,2022-11-10,Camila Rivera,Cali,1,Tarjeta de crédito,5,3.43722,-76.5225,Tienda 1,676800.0
Bloques de construcción,Juguetes,27000.0,1800.0,2023-01-21,Izabela de León,Bogotá,5,Tarjeta de crédito,10,4.60971,-74.08175,Tienda 1,25200.0
Mesa de noche,Muebles,321000.0,15300.0,2021-10-24,Lucas Olivera,Bogotá,2,Tarjeta de crédito,10,4.60971,-74.08175,Tienda 1,305700.0
Cama king,Muebles,658200.0,39800.0,2022-03-22,Juliana Costa,Barranquilla,1,Tarjeta de crédito,2,10.96854,-74.78132,Tienda 1,618400.0
Refrigerador,Electrodomésticos,2461500.0,135700.0,2022-09-29,Juliana Costa,Medellín,5,Tarjeta de crédito,6,6.25184,-75.56359,Tienda 1,2325800.0
Vaso térmico,Deportes y diversión,29500.0,7400.0,2020-12-18,Pedro Gomez,Bogotá,5,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 1,22100.0
Cubertería,Artículos para el hogar,53100.0,1000.0,2022-03-26,Juan Fernandez,Bogotá,2,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 1,52100.0
Cuerda para saltar,Deportes y diversión,8600.0,900.0,2022-08-17,Beatriz Morales,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 1,7700.0
Cama box,Muebles,590200.0,29600.0,2022-01-18,Maria Alfonso,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 1,560600.0
Silla de oficina,Muebles,514600.0,29800.0,2021-09-15,Rafael Acosta,Cartagena,5,Tarjeta de crédito,10,10.39972,-75.51444,Tienda 1,484800.0
